query_num,mutation,status_code,classification,latency_ms,response_body
1,contrast_1.045,200,allowed,126.4,"{""id"":""2d59cd4e-f35c-4a8d-bd35-a3ab21b005ce"",""message"":""Job saved""}"
2,resize_0.933,200,allowed,146.22,"{""id"":""d25fd5c2-148d-4dd2-a894-238ac5d02f37"",""message"":""Job saved""}"
3,crop_0.047,200,allowed,427.75,"{""id"":""3b4a2717-4807-4e01-8e50-e4719ff1624f"",""message"":""Job saved""}"
4,blur_0.567,200,allowed,310.3,"{""id"":""2fc3017c-97ea-46e2-848f-e06a8d0f1bc2"",""message"":""Job saved""}"
5,brightness_1.039,200,allowed,205.74,"{""id"":""ed5f0e95-1196-4503-a3b8-31eed99b3c5b"",""message"":""Job saved""}"
6,contrast_1.067,200,allowed,238.69,"{""id"":""acd74248-5a5b-46e8-96a0-223561ae9329"",""message"":""Job saved""}"
7,resize_0.970,200,allowed,264.0,"{""id"":""03a59bc1-5d4e-42a2-a804-1a6c24e7867c"",""message"":""Job saved""}"
8,crop_0.037,200,allowed,432.74,"{""id"":""f471746e-5772-4d2a-ace8-4298ba782138"",""message"":""Job saved""}"
9,blur_0.551,200,allowed,214.69,"{""id"":""1fb63c93-6448-4c2a-bf69-0c26dd2342b7"",""message"":""Job saved""}"
10,brightness_1.074,200,allowed,298.37,"{""id"":""75c90290-d032-402d-965f-219cc9f08478"",""message"":""Job saved""}"
11,contrast_1.044,200,allowed,248.8,"{""id"":""720c0dee-2c52-4199-87e0-7001a890d08e"",""message"":""Job saved""}"
12,resize_0.947,200,allowed,268.58,"{""id"":""b85f26d1-fb95-4cd0-a075-f7f8b1bd0e99"",""message"":""Job saved""}"
13,crop_0.011,200,allowed,1206.62,"{""id"":""06d59372-e190-4af8-ac9c-c8f3a3381589"",""message"":""Job saved""}"
14,blur_0.219,200,allowed,235.11,"{""id"":""81ccaf56-ef88-4aee-8eec-0d16bd1eb960"",""message"":""Job saved""}"
15,brightness_1.073,200,allowed,203.05,"{""id"":""8b963998-2030-4fab-b911-d3fcf49d6fe9"",""message"":""Job saved""}"
16,contrast_1.076,200,allowed,323.93,"{""id"":""2dc7784b-95a5-4b60-b43b-948bff17d9a2"",""message"":""Job saved""}"
17,resize_0.919,200,allowed,206.95,"{""id"":""c63a8144-c830-493d-8657-c4cdc4982543"",""message"":""Job saved""}"
18,crop_0.045,200,allowed,191.95,"{""id"":""cace3b87-72b4-47d6-992c-35c87f9e4ac2"",""message"":""Job saved""}"
19,blur_0.560,200,allowed,334.29,"{""id"":""9cca482c-dc39-462e-ab14-f191e441faf6"",""message"":""Job saved""}"
20,brightness_1.060,200,allowed,165.55,"{""id"":""eafd961f-a2a9-4855-ab67-cc838de104f2"",""message"":""Job saved""}"
21,contrast_1.057,200,allowed,283.18,"{""id"":""781e0297-7f06-4c75-b148-169c40621fa9"",""message"":""Job saved""}"
22,resize_0.933,200,allowed,297.28,"{""id"":""3ebacb45-cc20-4f46-91d8-f20f8f3c14df"",""message"":""Job saved""}"
23,crop_0.020,200,allowed,653.8,"{""id"":""21a0de0f-f4f3-4865-8524-ad10a730fee6"",""message"":""Job saved""}"
24,blur_0.633,200,allowed,435.14,"{""id"":""664b05e6-aa7a-42d3-907f-80430815fcb8"",""message"":""Job saved""}"
25,brightness_1.078,200,allowed,807.61,"{""id"":""6c75dcbd-a92f-4147-a2eb-09c18063367b"",""message"":""Job saved""}"
26,contrast_1.059,200,allowed,464.47,"{""id"":""aa4d838d-aed0-40d9-af09-4cc4d1206cde"",""message"":""Job saved""}"
27,resize_0.924,200,allowed,815.4,"{""id"":""822b4fb1-2c1b-465d-a264-47a48d2dcab7"",""message"":""Job saved""}"
28,crop_0.047,200,allowed,755.22,"{""id"":""69a306a4-6bfd-4a1b-894d-4da147bb14c2"",""message"":""Job saved""}"
29,blur_0.201,200,allowed,909.39,"{""id"":""a65af03f-3266-404d-87d9-6b5b54f301f4"",""message"":""Job saved""}"
30,brightness_1.076,200,allowed,810.42,"{""id"":""66cba853-2d3d-4cef-84f1-a77b588a78fa"",""message"":""Job saved""}"
31,contrast_1.026,200,allowed,602.28,"{""id"":""7d8da9f2-81f6-44bf-85b3-bb535d4a4b2b"",""message"":""Job saved""}"
32,resize_0.972,200,allowed,517.39,"{""id"":""8c891565-d6d9-4def-ab2f-74079f0c59a5"",""message"":""Job saved""}"
33,crop_0.030,200,allowed,375.37,"{""id"":""15cb5541-7b55-4af1-aa0c-2879915d5643"",""message"":""Job saved""}"
34,blur_0.455,200,allowed,238.47,"{""id"":""94add7a0-7991-4bb2-b1d0-4632c2db5bb2"",""message"":""Job saved""}"
35,brightness_1.029,200,allowed,345.6,"{""id"":""597dfda8-d86b-42e1-b031-0b5017ca583a"",""message"":""Job saved""}"
36,contrast_1.055,200,allowed,293.06,"{""id"":""24eac80a-8d48-4cd0-b640-bd2d0842ed9a"",""message"":""Job saved""}"
37,resize_0.902,200,allowed,406.22,"{""id"":""2fc393c8-d436-44d1-922d-a5e5cf6c4e15"",""message"":""Job saved""}"
38,crop_0.014,200,allowed,553.27,"{""id"":""55a764d9-5abb-4a94-a2ab-037b40479c87"",""message"":""Job saved""}"
39,blur_0.471,200,allowed,584.45,"{""id"":""35976400-ad4d-4668-bbc2-b39207e0b2e0"",""message"":""Job saved""}"
40,brightness_1.054,200,allowed,697.11,"{""id"":""fa8c4add-f0fc-4899-97c9-9c123cd8d65d"",""message"":""Job saved""}"
41,contrast_1.062,200,allowed,212.85,"{""id"":""0aa64ccb-538a-4bf0-9adc-2302b1d78b1e"",""message"":""Job saved""}"
42,resize_0.915,200,allowed,235.21,"{""id"":""e0e18c41-44e4-43d2-b7d1-2930ccdeeca5"",""message"":""Job saved""}"
43,crop_0.035,200,allowed,746.59,"{""id"":""181e06a6-ef62-43c2-8333-2a634b5b3ba3"",""message"":""Job saved""}"
44,blur_0.706,200,allowed,428.77,"{""id"":""04bdcd34-9cba-4b19-9f02-8b9f64d02845"",""message"":""Job saved""}"
45,brightness_1.072,200,allowed,414.72,"{""id"":""13414d57-56cc-45c5-ac65-5ce3c743242e"",""message"":""Job saved""}"
46,contrast_1.070,200,allowed,332.89,"{""id"":""f8635970-58fe-424a-b72b-27df1320ea7e"",""message"":""Job saved""}"
47,resize_0.903,200,allowed,389.27,"{""id"":""7a21ee77-8da4-4e17-8df1-14ec2341cbf5"",""message"":""Job saved""}"
48,crop_0.031,200,allowed,304.09,"{""id"":""089f0d96-36da-4564-83a7-a10354291084"",""message"":""Job saved""}"
49,blur_0.620,200,allowed,326.32,"{""id"":""3cf80528-c679-49df-bb9d-1d39074a651b"",""message"":""Job saved""}"
50,brightness_1.028,200,allowed,444.89,"{""id"":""2b82013e-c9fb-4fb9-93c1-7d085c2e9d16"",""message"":""Job saved""}"
